iter	Passed	Remaining
815	28870	6510
816	28908	6475
817	28943	6439
818	28978	6404
819	29020	6370
820	29061	6336
821	29098	6301
822	29135	6266
823	29170	6230
824	29214	6197
825	29249	6161
826	29282	6125
827	29320	6090
828	29357	6055
829	29391	6020
830	29428	5984
831	29465	5949
832	29505	5915
833	29549	5881
834	29583	5845
835	29617	5810
836	29653	5774
837	29691	5739
838	29729	5704
839	29768	5670
840	29809	5635
841	29846	5600
842	29882	5565
843	29916	5529
844	29951	5494
845	29986	5458
846	30019	5422
847	30055	5387
848	30089	5351
849	30125	5316
850	30163	5281
851	30205	5246
852	30238	5211
853	30273	5175
854	30308	5139
855	30344	5104
856	30378	5068
857	30415	5033
858	30450	4998
859	30486	4962
860	30520	4927
861	30564	4893
862	30599	4857
863	30633	4822
864	30670	4786
865	30704	4751
866	30744	4716
867	30784	4681
868	30821	4646
869	30854	4610
870	30892	4575
871	30928	4539
872	30963	4504
873	31001	4469
874	31039	4434
875	31076	4398
876	31116	4364
877	31155	4329
878	31193	4294
879	31236	4259
880	31282	4225
881	31328	4191
882	31365	4156
883	31407	4121
884	31446	4086
885	31482	4050
886	31517	4015
887	31554	3979
888	31590	3944
889	31628	3909
890	31666	3873
891	31702	3838
892	31738	3802
893	31776	3767
894	31813	3732
895	31852	3697
896	31891	3661
897	31929	3626
898	31969	3591
899	32007	3556
900	32045	3521
901	32087	3486
902	32125	3450
903	32162	3415
904	32202	3380
905	32240	3345
906	32279	3309
907	32318	3274
908	32353	3238
909	32389	3203
910	32427	3167
911	32461	3132
912	32513	3098
913	32562	3063
914	32609	3029
915	32643	2993
916	32683	2958
917	32719	2922
918	32756	2887
919	32789	2851
920	32825	2815
921	32861	2780
922	32895	2744
923	32933	2708
924	32968	2673
925	33004	2637
926	33047	2602
927	33081	2566
928	33114	2530
929	33147	2495
930	33182	2459
931	33223	2424
932	33264	2388
933	33298	2353
934	33333	2317
935	33374	2282
936	33408	2246
937	33443	2210
938	33477	2174
939	33514	2139
940	33550	2103
941	33585	2067
942	33617	2032
943	33657	1996
944	33694	1961
945	33729	1925
946	33765	1889
947	33801	1854
948	33838	1818
949	33875	1782
950	33909	1747
951	33943	1711
952	33977	1675
953	34013	1640
954	34055	1604
955	34089	1568
956	34124	1533
957	34159	1497
958	34194	1461
959	34229	1426
960	34262	1390
961	34299	1354
962	34336	1319
963	34377	1283
964	34411	1248
965	34446	1212
966	34483	1176
967	34522	1141
968	34557	1105
969	34592	1069
970	34627	1034
971	34668	998
972	34702	962
973	34736	927
974	34770	891
975	34805	855
976	34840	820
977	34874	784
978	34908	748
979	34945	713
980	34977	677
981	35012	641
982	35053	606
983	35087	570
984	35123	534
985	35161	499
986	35195	463
987	35230	427
988	35266	392
989	35301	356
990	35334	320
991	35375	285
992	35408	249
993	35443	213
994	35480	178
995	35515	142
996	35552	106
997	35591	71
998	35628	35
999	35671	0
